,lpt odds,r1 spread,r1 pup,r2 spread,r2 pup,enhanced_markov,r1_0,r1_1,r1_2,r1_3,r2_0,r2_1,r2_2,r2_3
2018-07-11 15:29:35,0.7566793893129771,0.033686092949475395,0.7495539886937848,0.26703481302197385,0.8789903194486047,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:40,0.7560143418922045,0.04174262190530638,0.7347718465879683,0.24147294145022247,0.8741722435610005,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:45,0.7545685866296553,0.04819264589701435,0.6809133804037694,0.22185054073458668,0.8729987650171138,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:50,0.744950276786038,0.04637851564978632,0.6630362081417058,0.2406572978002926,0.8689631035406951,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:29:55,0.7219583192602756,0.03743326019124994,0.6524561220066444,0.2534883010004283,0.8657591546388924,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:00,0.7021188856936953,0.0379147412383502,0.629338929360684,0.2577260170921873,0.8822220298701783,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:05,0.7005975245411866,0.03901357802563823,0.6143706016392259,0.26986894142761914,0.9039488218837892,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:10,0.7023330330451782,0.041740126105297766,0.6526279781816985,0.27870347336252604,0.8952214063853199,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:15,0.7042791791808538,0.046731718470752776,0.7077489740477036,0.2862399909905454,0.8587898917251724,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:20,0.7028589447130544,0.05299408627929685,0.7519103885494796,0.2496664426908669,0.806279705723487,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:25,0.7028589447130544,0.05209224092385229,0.7740500584325185,0.2123831914772292,0.742599723646029,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:30,0.7005975245411866,0.04865148280759605,0.7678533482154299,0.17773895131196138,0.6803371451602895,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:35,0.7005975245411866,0.03774574588044554,0.7553009469754322,0.14480030851394646,0.5492427499547221,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:40,0.7005975245411866,0.02969364760505735,0.7499864410237974,0.12017412627136631,0.4143912113858993,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:45,0.7023664120982072,0.02358448223294957,0.7575063522562797,0.09574265954257578,0.36558584351699386,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:50,0.7099567099567099,0.02862488058093165,0.7625240720844161,0.07114516937722473,0.3546105237221966,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:30:55,0.7115384615384615,0.038673835679535695,0.7745133499768825,0.047567813878754,0.35245694991086873,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:00,0.7126115256862833,0.041150187704954114,0.7615177727373763,0.042518309115024557,0.3330058989914831,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:05,0.7183982660226838,0.04618009262205906,0.7656699217582428,0.04017909308509183,0.36421836525115153,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:10,0.7228326666039654,0.04563594825979041,0.7374759063732125,0.044632930291026954,0.42782763202235286,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:15,0.7364828823793232,0.04098611075633292,0.6850024371249476,0.05401371212300817,0.4756633442103519,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:20,0.7438486543702372,0.03553575100471784,0.6221053473540505,0.05727702424407299,0.48963611911699545,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:25,0.7477347214189319,0.03294849450751439,0.5985588380374446,0.056526389525564345,0.4963529237368238,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:30,0.7477347214189319,0.03023688059275125,0.6252875295064271,0.05659430714268235,0.4989462517711436,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:35,0.7477347214189319,0.03092063889736237,0.6571153465868335,0.05961391113957122,0.5209037745620914,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:40,0.7493575711430475,0.030340975562534796,0.6509855160319353,0.053118901829587874,0.6390402198418107,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:45,0.7113061930360728,0.029293604585926787,0.6567784869894403,0.04022947524664731,0.720383935983844,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:50,0.7096823928461302,0.026176211131901068,0.6962694380924216,0.03893289302183893,0.7463949866461258,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:31:55,0.7091416184572052,0.023597081189493028,0.6609140387781537,0.040791400424034376,0.7613874789074394,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:32:00,0.7046898864340909,0.020486482351749685,0.6231081494676438,0.039731208862330156,0.7415367599826824,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:32:05,0.7019135893480923,0.017787883370298043,0.6388559813597724,0.03487994899553726,0.7404324410962938,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:32:10,0.6869931166087371,0.012857162699440837,0.6496018530936956,0.02437055429207644,0.7499058627403925,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:32:15,0.6860974274767379,0.012611715489604039,0.6415060476404035,0.017600635563665083,0.7528787605287277,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2018-07-11 15:32:20,0.6860974274767379,0.011917582071923815,0.6002827494945059,0.01529442839764517,0.7702441626050248,0.6864792044734619,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
